	score	comment	INPUT_URL = "https://review.rakuten.co.jp/item/1/351180_10001030/1.1/"  # 74210
0	4	耳が痛くならない＆小さめ（20cm）でない普通サイズの立体マスクを探して、5/30.48時間限定の半額以下の396円の立体マスク30枚を見つけて購入しました。現在は397円で販売しています。こちらのサイズは20.5cmです。写真１：梱包は商品サイトの説明にある旧タイプ（ビニール袋＋真空パック）で届きました。写真２：フラッペ型ヘーゼルナッツを購入しました。本体のヘーゼルナッツは良い色で満足ですが、紐の色が本体と違ってダサイ！！(￣▽￣;)!!ガーン！がっかりです！ま〜お安かったので我慢します。フラッペ型を注文する方は要注意です。☆２つにしたいですが、レビューが埋もれるので☆４つにしました。
1	5	クーポン利用で596円OFFで購入出来ます。商品説明の欄に日本人が日本人の為に作った、快適性と安心安全を追求したマスクシリーズ。と、記載がありますが国産ではございません。.拘りの無い方には十分な役目を果たしてくれると個人的には思えます。先ずは、厚手お買物時歩いていると息切れをほのかに感じる厚手のマスク。と言う事は安心安全につながる様な気もして来ます。厚手ゆえ汗も結構かきましたよ。.カラーとタイプが豊富でくちばしタイプと名の付く商品を選びました。こちらは３０枚入り何色か忘れましたがベージュ―と濃いめピンクの合計６０枚購入しています。.サイズも選べます。家族も使うかもと思い普通タイプを選びました。私自身は顔が小さい方ですが、普通タイプでも思ったよりは大きく感じませんでした。.購入は丁度１ヶ月前でレビュー遅くなりました。現在もクーポン発行は継続実施中です。安値ですし、人と多く触れ合わない場所に行くには十分だと思いました。.
2	5	以前はいろいろなタイプのマスクを家族が使っていましたが、世の流れが不織布マスクになってきたこともあり、最近はこちらの白いマスクを家族みんなで使っています。 こちらのものは、やや大きめで余裕があります。また、ゴムが平たく幅広いので、耳が痛くなると言うようなことが全然ありません。とりあえずは、とてもおすすめです。 ぱっと見価格が高いのですが、用意されているクーポンを使うとかなり格安なお値段になります。わざわざそのようにしている理由はよくわかりませんが。 あと、大きめでたっぷりなので、夏場はちょっと暑く感じるかもしれません。 いずれにしても、ここのところはこれに決まってきました。ここまでひもが幅広いものはなかなかないかなと思います。
3	4	安価な不織布マスクの中で、クーポンを使えばかなり安くなるお得なマスクです。 こちらの特徴は耳にかけるゴムがかなり平たいゴムで柔らかいので、耳が痛くなることが少ないという点が一番だと思います。 その他においては、まあ、不織布マスクとして普通の品質と感じますが、やや保温感が強い印象がありますので、冬場は暖かいですが、夏場はちょっと暑くなるかもしれません。 でも、娘がこちらのマスクを気に入っていることもあり、今ある分が少なくなってきたら、またリピートするかなと思っています。
4	5	最近はこちらのマスクをずっと使っています。 すごく激安ということはないですが、クーポンを利用すればまずまず安価に購入することができます。 特徴としては、プリーツ型のふつうサイズを購入していますが、それでも耳のゴムが平たくて大きく、耳への負担がとても小さいことです。 このサイズですとやや大きめの印象があり、夏場はちょっと暑く感じるかもしれません。寒いときにはちょうどいいですね。 ごくまれにゴムが取れているものが混じっていますが、ごくまれですので、気になるほどではありません。 買い回りにカウントできる1000円以上になるように、3つ購入しました。
5	4	不織布マスクはいろいろありますが、その中で、価格が安く、なおかつ品質のいいものを探す中でこちらを購入しました。 こちらのマスクの特徴としては、耳のゴムが本当に大きく、耳への負担が少ないと言うことです。 ふつうサイズのプリーツ型を使っていますが、やや大きめの印象です。かと言って小さいのも困るので、こちらにしていますが、夏場とかですと少し暑く感じるのが気になるかもしれません。 あと、不思議なのは、見た目の価格が特に安くなく、クーポンで51枚400円弱程度になるので、実際は格安マスクの部類に入ります。ただ、安ければ何でもいいわけではありませんので、最低限の品質は維持したく、こちらくらいのものを選んでいます。すでに何回かリピートです。 検品されているようですが、ごくたまにゴムが取れているのがあったりします。ただ、その頻度は低いので、そこまで気にしなくてもいいように思います。 また、なくなれば買うことになるかなと思います。娘がこちらのようなゴムのものがいいとのことです。
6	4	最近はドラッグストアでもカラーマスクの販売がありますが、カラーバリエーションが少ないのがネックですね。●妻用にピンク系2種類と私用にアイスグレーを購入で、色は共に気に入りました。妻用は、サイズを小さめにしましが、女性用としては大きめのようです。●その点、このショップでは、ドラッグストアよりすごく割安で、たくさんの色から選べるのがよいですね。ただセール期間中売り切れの色が多いので★-1です。
7	4	楽天スーパーセールでお得なクーポンを利用して購入しました。色と種類は、黒の普通サイズ。送料込みで、こんなに安いなんて近隣のドラッグストア等に出向くよりも安い！それで、品質が良ければ問題ないのですが…。という多少の不安と共に安さに惹かれて購入しました。商品は、封筒に入っていて、透明の真空パックされた状態で届きます。7枚×3を1枚のパックに詰めて、なるべく厚みを減らして送料を安くしている感じです。なので、個別梱包ではありません。すべて自分で使用するなら気にならないかもしれませんが、他の人が触れているかもしれませんで、気にする方は注意が必要です。肝心の品質ですが、普通に使用できます。耳が痛くなることもありません(個人差があると思います)。息のしやすさで言うと、以前使用していたマスクの方が良かったものの、衛生的にはこれくらいの丈夫さが必要かもしれません。購入後、数日、数枚使用しましたが、紐が切れてしまうようなことはありません。総評として、安くて品質も価格以上で購入して損はないと思います。
8	5	2回目の購入です。小学5年生の娘がとても気に入っています。また買うと思います。
9	4	グレーの普通サイズが品切れだったので、小さめサイズを買ってみました。顔は女性で大きくはないので、大きさは大丈夫でした。少しスッキリ小顔に見えます。このサイズ間もありかも。３０枚が一袋に入っているのが扱いづらいです。
