	score	comment  INPUT_URL = "https://review.rakuten.co.jp/item/1/351180_10001229/1.1/"  # 10917
0	4	顔はまあ小さい方だと思いますが、今まで買ったマスクの中で一番フィットします。プリーツタイプだとメガネと重なる部分が多くなっってしまったり、横に隙間ができたりしてたんですけどこれはジャストフィットでした。色も派手すぎず肌に馴染みます。開封時少し臭いますが、箱に入れ替えたので多分大丈夫かな？
1	4	ヘーゼルナッツとシュガーピンクを購入しました。別のショップで立体マスクを購入して変な色の物が届いたりして失敗したのでやはりこちらのフラップ型にして良かったです。丈夫な作りでクオリティ安定。梱包の箱がちょっとオシャレなのが個人的に好きです(^^)クーポンも配布されてるので安く買えて満足です。今回は発送がいつもより遅かったので☆マイナス1です。
2	4	当方ブルベ夏ですが、ライラックとアイスグレーを使ったことがあり合わせやすいカラーで良かったです。ただライラックとかのくすみカラーはちょっとくすみすぎて暗いので、ピンク系で淡い色のものが欲しかったのですがシュガーピンクは少し甘すぎる可愛い色でした。アイスグレーが1番良かったです。暗すぎず明るすぎず。アイスグレーだけリピします。
3	4	前回（3/15）と今回もヘーゼルナッツを購入しましたが今回（6/20）に購入したものは紐の色がペールオレンジ？（旧 はだいろ）ピンクベージュ？っぽくなっていました。着用した感じはそんなに変わりませんが色が苦手な方は注意です！
4	4	今までKN95マスクを使っていましたが、硬くて頬が擦れるため、他の密着度がいいマスクを探していました。こちらのマスクは素材は柔らかく、擦れて痛くなることもないです。しかも隙間もほとんどできないため、感染予防の面でもいいと思います。ただ、4層ですが思っていたより薄いです。また圧縮されてきたからか、圧縮シワが少しつていました。かなりお安いので、マイナス面は仕方ないかなと思ってます。
5	4	3箱で1枚あたり13.2円で購入しました。カラーはヘーゼルナッツです。思っていたよりも黄色？オレンジ？に近かったです。今まで何種類かこの形のタイプのマスクを使ってきていますが、こちらは1番緩く感じました。耳は全く痛くなくメガネをしていると緩さから隙間ができているせいかくもりが気になります。厚みは息切れしている時にペコペコするくらいの厚みです。
6	5	私はプリーツ派ですが、子供に頼まれての2度目のリピート。四つ購入したのでお安くなりました。バイカラー可愛い。
7	4	商品には満足していますが写真の印象で淡いピンクかと思いベビーピンクを注文しましたが実際はオレンジっぽいピンクでちょっと残念です。今度はシュガーピンクにしようと思います。
8	4	ベビーピンクが思ったよりオレンジよりのピンクでした。
9	4	今回こちらマスク初めて購入しました。マスク素材に関しては少し薄いような真夏にはよいです。耳も痛くなくて、しっかりしてます。ホワイト、ピンクにしました。
10	5	左からネイビー、ヘーゼルナッツ、シュガーピンク、ブラックです。他の立体マスクは鼻にあたるワイヤーがが痛く感じるものもありましたが、こちらのショップさんのは全く痛くなく長時間つけていても大丈夫でした。色が豊富にあるので次回は違う色にチャレンジしてみたいな。
11	4	2回目の購入です。発送も早く、金額も安く買えて良かったです。また、購入したいと思います。
12	5	注文から3日程で届きました。アイスグレー頼みましたが、爽やかな色味で夏の季節にぴったりだと思いました。立体マスクは息がしやすく、メイクも崩れにくいので気に入ってます。
